Local Route,Light Rail,Peak Service,Rapid Route,School,Other
16507,9949,246,17759,5540,69
2344,913,21,2280,0,21
3088,5647,0,7775,0,18
14881,9455,314,16610,4174,70
13472,6242,186,13757,4943,53
2705,2715,0,5439,0,29
9583,5703,121,10705,4585,4
16371,11064,366,19576,5550,101
15156,9612,246,16799,4229,91
10366,7877,154,13248,0,54
14519,9879,343,17483,4296,65
4825,6848,0,8536,0,19
18587,12238,426,21575,5442,96
2856,5034,0,5933,0,17
5383,6522,0,8231,0,1
12194,9821,365,16383,0,73
16420,9626,267,16969,5811,75
9529,7873,226,12933,0,48
9753,7324,248,12716,0,59
1481,2740,0,3308,0,6
14299,8797,252,15723,5160,92
3731,6849,0,8449,0,102
13979,9047,284,15836,4485,56
16056,9812,344,17921,4797,84
14040,9241,319,16658,3016,56
12723,8434,238,14196,4010,42
17446,11231,321,20844,4524,91
2049,3591,0,4969,0,16
14587,8914,304,16243,4295,53
15943,10252,336,18670,5186,61
15800,10808,345,19233,5413,100
13245,8425,173,15225,4270,56
13366,6594,249,13389,5398,40
16931,11798,294,19999,5299,105
5879,3545,75,6608,0,27
13206,7039,138,13205,5581,140
17242,10997,312,19596,5499,85
14063,8847,241,15540,4633,72
2783,4296,0,6135,0,22
11744,5628,183,11068,5306,39
1973,3308,0,5036,0,19
17892,10847,458,22891,5813,0
3971,6162,0,9552,0,0
8061,5998,100,10227,0,45
2498,6572,0,6513,0,14
3369,5149,0,6554,0,24
2148,3430,0,4932,0,24
5259,2318,58,5027,0,41
13149,10032,259,18341,44,0
12778,6549,195,12682,5075,49
16498,11686,368,20735,4701,69
17690,11279,375,21424,5094,85
17365,11255,378,20596,5139,105
10902,6586,194,11920,3265,45
17108,11047,349,19420,5442,61
8856,7678,175,10983,0,48
2100,3216,0,4417,0,18
14452,8861,271,16091,4884,64
13560,7021,227,13692,5380,66
1862,2799,0,4160,0,18
2730,3889,0,5175,0,26
489,409,0,862,0,5
1507,2477,0,3673,0,10
9632,6301,197,11869,0,45
3687,5699,0,7796,0,11
3170,4718,0,6242,0,17
2226,3553,0,5147,0,21
15846,9420,270,16980,5534,91
722,503,0,1079,0,6
15265,10162,346,18713,4823,74
1839,3064,0,4454,0,22
12610,9002,225,15471,2669,53
458,456,0,943,0,7
12504,9633,273,16163,2096,52
6901,3495,101,7501,3708,1
2234,3731,0,5454,0,18
14014,8326,254,15939,4914,101
3298,7452,0,6637,0,45
8397,5496,187,10183,0,31
1983,3378,0,4258,0,14
19037,11559,351,20647,6343,123
4365,2790,164,6563,144,0
17471,11645,373,19880,4901,96
12650,6590,157,12662,5542,63
6085,2890,85,6510,2470,1
16659,9901,294,18151,6238,100
12497,9542,356,15626,0,64
15884,9606,368,17510,4938,46
1959,768,21,1920,14,13
1996,3517,0,5276,0,10
17267,11047,306,20871,4774,108
2066,949,20,2139,29,14
13588,9101,183,15110,4155,38
2738,4605,0,6663,0,54
2015,741,9,1907,11,13
17269,11314,367,20063,4988,80
2049,3796,0,5285,0,34
11809,8649,308,15495,0,46
18838,12491,334,21939,5524,111
2081,3242,0,4977,0,34
3955,4411,0,6228,0,2
4835,6329,0,8639,0,17
16882,10194,310,17639,4474,77
10341,8520,227,14447,0,60
13434,8663,254,14764,4138,38
13403,10476,343,19749,0,0
15635,10279,405,18394,4684,69
17004,11653,445,22538,3083,0
14391,9346,296,16643,4691,73
2420,4047,0,5898,0,14
2559,4430,0,6221,0,20
7269,5337,150,9105,0,38
2922,5166,0,6031,0,23
